## Site Characteristics
        Country='The Netherlands'
        Station='370 Eindhoven'
        Description=''
        Source='KNMI'
        Contact='Herman Berghuijs (herman.berghuijs@wur.nl)'
        Longitude=5.377;Latitude=51.451;Elevation=22.6;AngstromA=0.158;AngstromB=0.534;HasSunshine=False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
202011,1310,-1.2,3.5,0.635279,2.1,0,-999
202012,1240,0.5,7.7,0.767565,3.8,0,-999
202013,680,2.6,10.1,0.872741,5.3,4.9,-999
202014,2010,2,8.2,0.777224,4.5,0.9,-999
202015,990,5.8,7.4,0.834503,3.2,0,-999
202016,4780,3.1,7.9,0.708784,3.9,1.3,-999
202017,1640,4.7,8.6,0.851396,5.1,0,-999
202018,760,7.7,12.3,1.137302,4,2.4,-999
202019,710,9.8,12.9,1.226086,5.8,3.7,-999
2020110,1980,1.1,11,0.822949,3.6,3.7,-999
2020111,3030,1.5,7.3,0.696639,4.5,0,-999
2020112,1220,4,9.3,0.829208,6.1,1.3,-999
2020113,3950,6.4,11,0.890288,5.3,0,-999
2020114,860,9.2,12.2,1.023633,8.3,2.3,-999
2020115,2380,4.9,12.8,0.843228,6.6,2.8,-999
2020116,5520,1.4,11.8,0.808736,3.6,0,-999
2020117,1480,3,10.2,0.765486,4.8,0.3,-999
2020118,3340,-0.3,7.7,0.651722,4,0.5,-999
2020119,3960,-0.4,7.6,0.661272,2.5,0,-999
2020120,2300,-2.2,4.5,0.654737,1.2,0,-999
2020121,2320,-2.3,0.4,0.560866,1.4,0,-999
2020122,1750,-1.4,4,0.664568,1.5,0,-999
2020123,2840,1.5,6.1,0.700811,2,0,-999
2020124,850,0.3,1.9,0.628169,1.7,0,-999
2020125,1100,-0.3,2.3,0.624451,1.9,0,-999
2020126,4730,1.2,10.4,0.793131,3.5,0,-999
2020127,2090,7.2,9.4,0.97275,5.3,2.6,-999
2020128,3580,2.9,7.4,0.689673,6.9,4.3,-999
2020129,4840,2.8,7.7,0.667264,6.4,0.4,-999
2020130,3550,5.5,12.1,0.96299,6.6,2,-999
2020131,2310,10.2,12.7,1.106788,7,0,-999
202021,2760,7.7,12.8,1.041941,6.8,6.5,-999
202022,1090,6.5,13.3,1.031816,6,3.6,-999
202023,2410,5.6,11.2,0.890968,5.5,5.6,-999
202024,3630,1.4,7.2,0.69177,4.5,5.5,-999
202025,6550,0.1,8.6,0.653459,1.8,0,-999
202026,3230,-1.3,7.9,0.655707,1.8,0,-999
202027,7860,-1.6,8.8,0.583323,3.2,0,-999
202028,3250,2.6,12.3,0.839918,4.2,1.2,-999
202029,2710,6.7,12.9,0.939955,10.8,21.4,-999
2020210,3850,4.3,11.5,0.719799,10.5,9.5,-999
2020211,5310,3.8,7.9,0.56834,8.8,1.4,-999
2020212,7830,2,8.8,0.581665,6.8,0,-999
2020213,3010,2.5,9.2,0.766951,5,10.7,-999
2020214,4020,5.7,9.6,0.826347,4.1,0.1,-999
2020215,5360,7.2,13.4,0.918705,7,0,-999
2020216,2600,8,18,1.097394,11.3,11.3,-999
2020217,6530,5.8,11.4,0.814805,7.8,3.5,-999
2020218,5070,4.6,9.5,0.791374,7.9,2.6,-999
2020219,6210,3.9,8.1,0.691467,5.6,7,-999
2020220,3580,3.9,10.6,0.797993,7,7.2,-999
2020221,5720,2.3,9.2,0.697616,7.2,0,-999
2020222,2200,6.4,10.1,0.810324,9.4,3.8,-999
2020223,1130,2.5,12.5,0.818446,7.8,19.7,-999
2020224,1680,2.5,11.8,0.887584,6.4,5.6,-999
2020225,7680,3,11,0.706794,6.2,2.5,-999
2020226,6090,0.1,6.7,0.635155,4.3,15.3,-999
2020227,1850,0.6,3.4,0.644632,3.8,9.8,-999
2020228,6150,-0.4,8.1,0.605821,5.5,5.3,-999
2020229,5880,4.5,13.6,0.851169,7.6,1.8,-999
202031,6320,3.7,10.3,0.706303,6.9,0.4,-999
202032,3050,3.2,8.8,0.799327,3.5,5.8,-999
202033,9500,1,9.7,0.694321,4.1,0.9,-999
202034,10280,3.2,10.8,0.751056,3.8,1.6,-999
202035,2290,4.7,7.4,0.828809,4,13.1,-999
202036,4700,4.5,9.5,0.809767,4.1,3.9,-999
202037,11050,1,11.3,0.666676,4.3,0,-999
202038,3670,6.7,10,0.897188,5.8,3.8,-999
202039,8830,5.7,10.5,0.81491,5.5,0.8,-999
2020310,2720,6.2,13.1,1.076017,8.5,12.8,-999
2020311,6630,9.6,14.7,1.140135,5.7,14.7,-999
2020312,12780,5.7,13.7,0.708691,8.5,2.9,-999
2020313,9840,2.1,11,0.702679,5.5,2.7,-999
2020314,10830,0.6,12,0.691308,4,0.4,-999
2020315,6090,6.8,13.6,0.914803,4.3,0,-999
2020316,10570,2.2,13.3,0.851213,1.8,0,-999
2020317,15760,2,14.7,0.636263,3.5,0,-999
2020318,13210,4.2,17.2,0.833886,3.7,0,-999
2020319,10200,4.2,15.1,0.944795,2.6,0,-999
2020320,4430,5,9.3,0.746993,5.8,1.9,-999
2020321,17590,2,9.6,0.586511,6.7,0,-999
2020322,18300,0.6,10.6,0.421432,5.4,0,-999
2020323,18380,1.1,10.2,0.305178,5.1,0,-999
2020324,18530,0.5,11.3,0.285563,3.8,0,-999
2020325,18710,-1.8,11.9,0.29779,4.3,0,-999
2020326,18360,-1,11.8,0.369787,5.5,0,-999
2020327,17080,0.3,15.5,0.539157,4.9,0,-999
2020328,17710,3.3,14.3,0.611989,6.4,0,-999
2020329,9810,-1.2,7.9,0.447808,7.4,0,-999
2020330,12240,-4.9,9.1,0.497858,2.5,0,-999
2020331,20020,-0.8,9.8,0.455407,3.8,0,-999
202041,20080,-4.2,10.8,0.430285,1.8,0,-999
202042,10490,-2.1,10.5,0.547055,3.5,0,-999
202043,11540,-1.3,11.5,0.50743,3.6,0,-999
202044,20740,-2.1,15.3,0.497208,2.4,0,-999
202045,20860,6,21.4,0.600412,4.1,0,-999
202046,19730,6.9,24,0.746125,4.1,0,-999
202047,19980,3.8,20.4,0.876295,2.4,0,-999
202048,17570,6.1,25.5,0.857374,1.3,0,-999
202049,17160,6.9,21.7,0.895985,3.3,0,-999
2020410,21180,6.2,20.4,0.836887,3.9,0,-999
2020411,21670,4,22.9,0.631939,2,0,-999
2020412,17260,4.2,24.8,0.806949,2.1,1.6,-999
2020413,18640,4.2,11.8,0.609401,6.2,0,-999
2020414,12150,1,10.8,0.567365,2.1,0,-999
2020415,21410,-1.1,18.3,0.550892,1.8,0,-999
2020416,21580,3.1,24.4,0.622306,2,0,-999
2020417,21330,6.6,19.8,0.779938,4.8,0,-999
2020418,10660,7.6,16.1,0.955973,2.9,0,-999
2020419,18470,8.4,19.1,0.84423,4.7,0,-999
2020420,23990,7,19.6,0.463537,6.7,0,-999
2020421,24400,8.6,20.8,0.543992,6.5,0,-999
2020422,24700,7.2,22.5,0.587426,5.3,0,-999
2020423,24280,6.7,23.8,0.628466,2.3,0,-999
2020424,24270,5.2,20.7,0.764286,3.2,0,-999
2020425,20050,5,15.7,0.749678,3.1,0,-999
2020426,24820,1.4,18.5,0.689878,1.8,0,-999
2020427,22540,2.7,23,0.713865,2.6,0,-999
2020428,9120,8.3,15.9,1.085624,2.6,3.6,-999
2020429,12670,9.7,17.7,1.09224,5.1,1.1,-999
2020430,18110,7.8,16.9,0.886807,5.5,8.8,-999
202051,14810,7.3,15.9,1.008526,5.3,4.6,-999
202052,16780,5,15.1,0.860459,4.4,1.1,-999
202053,16050,4.3,17.6,0.742592,2.3,0,-999
202054,18790,6.4,17.6,0.811542,4.1,0,-999
202055,27590,5,15.4,0.628886,4.3,0,-999
202056,26850,2.9,18.5,0.585357,2.6,0,-999
202057,24270,3.6,21.8,0.694135,1.4,0,-999
202058,22120,6.1,22.9,0.767913,2,0,-999
202059,25300,9.2,25.5,0.833795,2.4,0,-999
2020510,8330,7.2,21.1,1.084631,3.7,0,-999
2020511,21220,1,13.7,0.523374,7.9,0.5,-999
2020512,14730,-0.7,12.3,0.591749,1.7,0,-999
2020513,18120,1.3,14.2,0.631197,3.8,0,-999
2020514,28420,1.9,15.1,0.499866,4.8,0,-999
2020515,23130,1,16.2,0.63294,3,0,-999
2020516,20990,1.6,17.8,0.719816,3.2,0,-999
2020517,23320,2,20.2,0.741164,2.3,0,-999
2020518,27170,6,24.5,0.682144,3,0,-999
2020519,24800,6.4,24.8,0.96116,3.1,0,-999
2020520,25300,8.8,23.4,1.19691,2.4,0,-999
2020521,27020,8.9,28.4,1.10488,1.6,0,-999
2020522,13120,14.8,27.9,1.400346,4.8,1.1,-999
2020523,18840,11.4,20.5,0.930022,5.5,0.2,-999
2020524,10230,9.9,15.9,1.118003,4.9,0.1,-999
2020525,23310,9.4,22.4,1.142694,3.3,0,-999
2020526,27700,6.9,24,0.989841,1.9,0,-999
2020527,25760,9,23.6,1.046283,3.5,0,-999
2020528,29690,8.6,22.1,0.780265,5.1,0,-999
2020529,29890,7.3,23.4,0.778117,3.7,0,-999
2020530,28530,10.9,24.9,0.795159,4,0,-999
2020531,29420,9.7,22.5,0.825637,4.6,0,-999
202061,28710,10.7,26.3,0.839602,3.2,0,-999
202062,27220,9.4,29.7,0.969092,2,0,-999
202063,25670,9.7,24.7,1.112668,3.1,0,-999
202064,4920,6.6,15.1,1.04653,3.5,3.7,-999
202065,11690,5.4,15.3,0.995579,4.9,22.2,-999
202066,21960,7,17.7,0.825314,7.1,1.3,-999
202067,16030,10.1,19.2,1.022301,4.7,0,-999
202068,13290,11,19.3,1.295197,3.2,0.6,-999
202069,12780,10.4,17.4,1.124997,4,0,-999
2020610,8270,8.3,18.3,1.197718,2.3,0,-999
2020611,14310,11.7,20.7,1.251331,2.9,0,-999
2020612,22950,15.4,26.8,1.570997,3.4,13.2,-999
2020613,27590,15.2,27,1.550871,2.2,2.9,-999
2020614,5550,15.2,20,1.674001,2.1,10.5,-999
2020615,15980,15.2,25.1,1.544832,1.8,0.3,-999
2020616,13170,14.8,23.6,1.599142,1.7,2.6,-999
2020617,23460,13,25.5,1.532091,2.7,30.6,-999
2020618,21240,13.3,23.9,1.371306,2.8,4.8,-999
2020619,27620,11.5,23.9,1.355161,3.3,0,-999
2020620,26110,10.9,23.5,1.291899,2.3,0,-999
2020621,21390,12.7,26,1.456044,3.7,2.6,-999
2020622,25930,11.2,23.8,1.257668,2.3,0,-999
2020623,29410,11,27.2,1.267959,1.9,0,-999
2020624,29940,15.4,30.5,1.332934,3.8,0,-999
2020625,29490,18.9,30.3,1.540787,3.8,0,-999
2020626,26930,19.1,31.6,1.89805,3.1,6.9,-999
2020627,19210,17.2,27,1.807458,4,1.6,-999
2020628,21540,12.7,22.6,1.125104,5.1,0,-999
2020629,20690,12.7,21.4,1.018374,6.5,0,-999
2020630,14780,12.6,21.8,1.386715,6.4,2.4,-999
202071,10710,13.5,21.5,1.540407,4.5,28.5,-999
202072,18630,12.5,22,1.428804,4,0.5,-999
202073,17990,12.6,22.7,1.373867,5.2,0,-999
202074,9340,14.4,19.9,1.569381,6.5,1.5,-999
202075,13450,14.4,23.8,1.498275,8.5,0,-999
202076,19980,9.1,19.1,1.140755,5.1,0.8,-999
202077,19200,6.9,20.9,1.051082,3,0,-999
202078,6410,12.2,17.5,1.556367,2.9,4,-999
202079,10630,15.7,21.9,1.793781,5,1.2,-999
2020710,12540,8.6,18.3,1.162398,3.9,3.4,-999
2020711,18840,6.8,19.4,1.121325,1.8,8.1,-999
2020712,23420,7.2,21.7,1.081787,2.1,0,-999
2020713,28820,8.5,24.4,1.04257,1.7,0,-999
2020714,8820,10.8,18.4,1.264928,2.1,1.6,-999
2020715,20410,8.9,21.9,1.210024,2.3,0,-999
2020716,7670,12.9,18,1.554716,2.7,1.3,-999
2020717,12690,13.2,21.3,1.61752,1.4,0,-999
2020718,23090,11.7,27,1.493807,2,0,-999
2020719,25050,11.8,25.2,1.367473,2.9,0,-999
2020720,26610,11.5,22.1,1.169262,3.5,0,-999
2020721,25370,7.7,22.1,1.055076,2.5,0,-999
2020722,24070,6.8,21.8,1.027762,2,0,-999
2020723,25380,7.8,26.1,1.172614,2,0,-999
2020724,13380,14.3,22.3,1.622436,3.1,0.9,-999
2020725,10330,14.5,24,1.7176,3.9,1,-999
2020726,21290,13.5,23.7,1.497005,4.1,0.3,-999
2020727,11040,13.3,27.9,1.453602,2.7,0.5,-999
2020728,17470,11.5,22.8,1.167311,4.7,0,-999
2020729,21800,11.4,22.5,1.185874,3,0,-999
2020730,26190,9,28,1.136958,1.8,0,-999
2020731,26610,14.9,34.9,1.244554,3.1,0,-999
202081,17360,13.2,25.9,1.559274,3,0.1,-999
202082,16380,9.7,23.7,1.304311,3,0,-999
202083,19020,7.9,24.3,1.109184,2.1,0,-999
202084,25720,8,23.6,1.006306,2,0,-999
202085,25810,11.3,30.1,1.026407,3.2,0,-999
202086,24230,12.4,31.9,1.210192,1.8,0,-999
202087,25030,15.7,34.6,1.399456,1.6,0,-999
202088,24170,14.9,35.9,1.344855,2,0,-999
202089,23210,22,35,1.600098,2.4,0,-999
2020810,21470,19.3,34.4,1.760958,3.1,0,-999
2020811,19410,20.3,35.8,2.030366,2.9,3.6,-999
2020812,22270,21.7,33.2,2.017345,3.1,0,-999
2020813,16730,19.4,34.1,2.070914,2.1,3.2,-999
2020814,18130,17.5,28.5,2.089037,2.8,0,-999
2020815,15350,16.5,28.4,1.905804,1.5,1.2,-999
2020816,15580,15.9,30.8,1.897841,2.3,0.8,-999
2020817,17190,15,27.7,1.698459,2.3,0,-999
2020818,18460,13.1,26.5,1.492842,2.8,0,-999
2020819,19450,13.9,29.1,1.616372,3.3,0.1,-999
2020820,10860,18.5,30.1,2.089159,3.4,1.9,-999
2020821,18580,16.2,30.6,1.562512,4.9,1.8,-999
2020822,16090,14.8,25.6,1.51346,5.5,0.1,-999
2020823,13130,13.8,22.4,1.396436,5.1,0.3,-999
2020824,13790,11.9,22.9,1.262223,4.4,0.2,-999
2020825,7170,12.2,22,1.509877,5.2,0.8,-999
2020826,4120,11.7,19,1.337108,8,0.8,-999
2020827,11150,11.9,21.9,1.287145,2.6,0.2,-999
2020828,11140,10.3,22.8,1.300199,4.7,5.3,-999
2020829,15160,9.9,20.6,1.313514,3.9,0,-999
2020830,8110,10.1,18.9,1.469759,3.8,7.7,-999
2020831,12760,8.3,20.2,1.075519,2.7,0.3,-999
202091,11990,5.7,19.9,0.95544,1.7,0,-999
202092,15300,8.7,22.3,1.076319,1.4,0,-999
202093,6670,10,21.5,1.422858,4.4,1.9,-999
202094,13970,13.6,23.2,1.401666,3.5,1,-999
202095,13940,9.5,20.5,1.112765,3.4,0,-999
202096,11290,7.2,20.9,1.011687,2.3,0,-999
202097,15730,7.7,22.2,1.143951,2.7,0,-999
202098,5210,12.1,19.2,1.556542,3.5,0,-999
202099,7710,12.2,25.3,1.402554,3.6,0,-999
2020910,18620,6.9,21.1,0.988014,1.3,0,-999
2020911,14470,5.2,23,1.04709,1.3,0,-999
2020912,14510,7.3,21.8,1.180202,2.7,0,-999
2020913,16280,9.6,24.9,1.357257,2.2,0,-999
2020914,16800,10.2,31.5,1.280013,1.4,0,-999
2020915,16450,12.8,34,1.395143,1.6,0,-999
2020916,15100,14.3,27.3,1.646948,4,0,-999
2020917,16500,7.7,20.7,0.889894,4.9,0,-999
2020918,16620,8.8,23.6,0.966888,4.6,0,-999
2020919,15840,10.9,26.1,0.973996,3.3,0,-999
2020920,16820,8.1,25.3,0.883592,3.1,0,-999
2020921,15980,5.2,25.9,0.930257,1,0,-999
2020922,14870,5.9,25.4,0.957868,1.2,0,-999
2020923,9560,9.6,24.5,1.305747,4.5,3.6,-999
2020924,13190,10.9,19.3,1.166081,5.5,2.3,-999
2020925,7000,7.9,14.8,1.103752,6,17.3,-999
2020926,8260,10.2,16.5,1.132363,4.1,14.2,-999
2020927,5200,11.4,15.5,1.289827,4,3.4,-999
2020928,1620,11.3,12.2,1.295696,2.4,2.4,-999
2020929,11520,11.5,20,1.272876,2.5,0.8,-999
2020930,7730,11.6,20.4,1.53219,3,0,-999
2020101,2900,9.4,16,1.36299,3.5,7.4,-999
2020102,4540,8.4,16.3,1.201871,4.3,0.3,-999
2020103,1990,10,15.3,1.325759,3.1,6.6,-999
2020104,8050,10.6,15.1,1.139223,5.7,1,-999
2020105,5030,10,15.7,1.204811,5.4,7.7,-999
2020106,8380,11.2,18.1,1.286133,6,1,-999
2020107,6800,8.9,15.7,1.180584,5.3,4.8,-999
2020108,3130,9.8,17,1.333653,6,5.5,-999
2020109,6170,8.1,16.2,1.109366,2.5,0.3,-999
20201010,7610,5.4,13,0.956246,4.8,4.5,-999
20201011,9230,3.9,14.7,0.980854,3,0,-999
20201012,5740,6,14.4,1.003121,2.1,0.2,-999
20201013,7600,5.9,13.1,0.950799,3.3,0,-999
20201014,5440,5.5,12.8,0.906602,4.3,0,-999
20201015,5290,7.3,11.5,0.93004,4,0,-999
20201016,5440,4.4,12,0.89239,2.6,0,-999
20201017,6230,2.8,12.5,0.793665,0.5,0,-999
20201018,3320,3.1,12.4,0.942745,2.2,0,-999
