iProfile,iBOFEK2012,iHoofd,iSoil1,iZ1,iSoil2,iZ2,iSoil3,iZ3,iSoil4,iZ4,iSoil5,iZ5,iSoil6,iZ6,iSoil7,iZ7,iSoil8,iZ8,iSoil9,iZ9
1010,101,1,17,20,17,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1020,101,1,17,8,17,25,35,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
1030,105,1,17,15,34,40,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1040,105,1,17,15,34,35,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1050,101,1,17,15,35,30,35,50,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1060,105,1,17,20,35,40,35,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
1070,102,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
1071,101,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
1072,102,1,17,20,35,40,35,80,36,100,24,120,0,99999,0,99999,0,99999,0,99999
1080,103,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1090,103,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1100,103,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1110,103,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1111,104,1,16,20,35,50,35,70,20,90,32,120,0,99999,0,99999,0,99999,0,99999
1120,103,1,16,20,34,60,20,75,20,90,19,120,0,99999,0,99999,0,99999,0,99999
1130,101,1,17,7,31,20,31,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
1140,101,1,17,10,28,30,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1150,105,1,17,5,31,15,36,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999
1160,101,1,17,8,28,25,30,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
1170,101,1,17,7,30,20,36,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
1180,102,1,17,8,17,20,36,35,35,80,19,120,0,99999,0,99999,0,99999,0,99999
1190,101,1,17,8,31,30,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
