iProfile_old,iProfile,BodemCode,Areaal
1010,1010,hVb,14688.23825
1020,1020,ohVb,11878.09122
1030,1030,hVs,8279.842195
1040,1040,hVsc,4184.480613
1050,1050,hVc,18683.70445
1060,1060,hVk,3155.458227
1070,1070,hVz,14171.2876
1071,1071,hVzc,1578.826003
1072,1072,hVzx,649.341909
1080,1080,aVc,1626.138669
1090,1090,faVc,333.9602879
1100,1100,aVz,13742.20359
1110,1110,faVz,5310.601397
1111,1111,faVzt,1154.603019
1120,1120,aVp,1282.66028
1130,1130,pVb,16115.66328
1140,1140,opVb,3688.287658
1150,1150,pVs,7752.473083
1160,1160,opVc,2608.718721
1170,1170,pVc,13127.68509
1180,1180,pVz,3457.934294
1190,1190,kVb,10560.5267
1200,1200,kVs,11003.91174
1210,1210,kVsc,3642.877613
1220,1220,kVc,15229.12082
1225,1225,kVc,1818.977106
1230,1230,kVz,8869.215927
1235,1235,kVz,16.36000543
1240,1240,kVk,3803.738307
1250,1250,zVz,6963.287571
1255,1255,zVz,117.8634325
1260,1260,zVc,1312.180487
1265,1265,zVc,126.3554272
1270,1270,zVp,2718.325895
1275,1275,AVk-F,37.27272681
1281,1281,Vs,19402.45372
1282,1282,Vs,1433.863277
1290,1290,Vc,6468.260709
1300,1300,dVk,2968.056714
1310,1310,Vz,8449.906335
1320,1320,Vp,7070.230039
1330,1330,iVc,1005.607571
1340,1340,iVz,8298.973827
1350,1350,iVp,3687.634945
2010,2010,kWp,8192.798734
2015,2015,kWp,454.2100167
2020,2020,vWp ,17351.28409
2030,2030,vWpx,2567.447931
2040,2040,zWp,17182.95282
2050,2050,zWpx,3206.791374
2060,2060,iWp,21902.1923
2070,2070,iWpx,2576.536236
2080,2080,Wo,7170.133432
2081,2081,Wgl,8238.38506
2090,2090,Wol,8404.090404
2110,2110,kWz,8214.711831
2115,2115,kWz,852.3944047
2120,2120,zWz,13403.05834
2121,2121,zWzx,895.7446333
2125,2125,zWz,1130.075381
2130,2130,vWz,24566.82778
2131,2131,vWzg,936.6263981
2140,2140,vWzx,2381.047636
2150,2150,fvWz,1409.242986
2151,2151,fvWzt,1127.7966
2160,2160,iWz,13958.31867
3010,9013010,Y21,1240.635311
3010,9023010,Y21,6011.084394
3011,3011,Y21g,2259.874786
3020,9013020,Y23,3868.69045
3020,9023020,Y23,2006.88008
3030,3030,gY30,36180.7962
3040,3040,cY21,2648.83107
3050,3050,cY23,3627.625818
3060,3060,cY23x,2290.854985
3070,3070,gcY30,2520.460003
4010,9014010,Hn21,77748.25189
4010,9034010,Hn21,57354.25644
4010,9024010,Hn21,186782.5653
4015,4015,uHn21,517.356693
4020,9024020,Hn21g,5957.100738
4020,9014020,Hn21g,20659.89781
4030,4030,Hn21x,20098.02302
4031,4031,Hn21t,8426.538211
4040,4040,kHn21,10090.23066
4041,4041,kHn21x,1395.100253
4045,4045,kHn21,2207.333559
4050,9014050,Hn23,10606.24424
4050,9034050,Hn23,5907.645086
4050,9024050,Hn23,49912.38748
4060,4060,Hn23g,3349.806947
4070,4070,Hn23x,53361.8041
4071,4071,Hn23t,6687.258877
4080,9024080,Hn30,3149.061105
4080,9014080,Hn30,6892.978052
4090,9014090,cHn21,6185.33902
4090,9024090,cHn21,47571.53486
4100,4100,cHn21g,4210.122591
4110,4110,cHn21x,2205.993093
4111,4111,cHn21t,958.533503
4120,9014120,cHn23,3579.362594
4120,9024120,cHn23,23966.53086
4121,4121,cHn23g,818.7519219
4130,4130,cHn23x,19279.14608
4131,4131,cHn23t,2376.918378
4140,4140,Hd21,34912.11636
4150,4150,Hd21g,5894.218649
4160,4160,gHd30,38789.44514
4170,4170,cHd21,2762.203737
5010,5010,BLd5,1647.801851
5011,5011,BLd5g,865.5269351
5020,5020,BLd6,10760.83837
5030,5030,BLb6,10405.30799
5040,5040,BKd25,3553.527308
8010,8010,EZg21,2106.494038
8012,8012,EZg21w,1317.029611
8016,8016,EZg21,1038.138125
8020,8020,EZg23,4947.00665
8021,8021,EZg23g,972.7909502
8022,8022,EZg23w,1731.74445
8030,8030,bEZ21,6961.704559
8040,9018040,bEZ23,6024.402337
8040,9028040,bEZ23,15335.33383
8041,8041,bEZ23t,784.1142143
8050,8050,bEZ30,4356.694154
8060,8060,zEZ21,69863.98697
8061,8061,zEZ21t,1289.107656
8070,8070,zEZ21g,3147.914699
8090,9018090,zEZ23,17415.59714
8090,9028090,zEZ23,44261.74806
8091,8091,zEZ23g,1341.098552
8100,8100,zEZ23x,3833.800735
8101,8101,zEZ23t,4024.523751
8110,8110,zEZ30g,4413.9951
8120,8120,EZ50A,6115.6535
9010,9010,EK19,5560.541978
9020,9020,EL5,212.3649756
10010,10010,pZg21,14181.32098
10012,10012,pZg21g,2042.938049
10013,10013,pZg21x,906.5381498
10014,10014,pZg21w,1186.107822
10016,10016,pZg21,2926.601929
10020,10020,kpZg21,5989.715133
10030,90110030,pZg23,3726.308598
10030,90310030,pZg23,4416.658049
10030,90210030,pZg23,65571.61365
10040,10040,pZg23g,8129.248597
10060,10060,pZg23x,9016.318398
10061,10061,pZg23t,9449.683392
10070,10070,fpZg23,9759.833263
10071,10071,fpZg23g,2544.679097
10072,10072,fpZg23t,1695.009994
10080,10080,kpZg23,14649.74291
10081,10081,kpZg23g,2303.098261
10090,10090,fkpZg23,8277.827766
10100,10100,pZg30r,1918.044671
10110,10110,pZn21,32408.96992
10111,10111,pZn21g,7224.941736
10112,10112,pZn21t,1053.542054
10120,10120,kpZn21,1411.346357
10121,10121,kpZn23x,1105.053075
10130,10130,pZn23,27213.70143
10140,10140,pZn23g,3634.107531
10150,10150,pZn23x,3971.485683
10151,10151,pZn23t,4365.247302
10170,10170,pZn30,2969.594763
10186,90210186,Zn21,16018.79891
10186,90110186,Zn21,8180.243777
10182,10182,Zn21g,625.2890834
10186,10186,Zn21,5039.488416
10190,10190,kZn21,6406.271539
10191,10191,kZn30,904.6928823
10195,10195,kZn21,93.46748365
10200,10200,Zn23,9905.146714
10201,10201,Zn23t,1266.038472
10210,10210,fZn23,3114.232235
10211,10211,fZn21,1196.969954
10220,10220,fkZn23,2618.562409
10221,10221,fkZn21,1031.908147
10230,10230,Zn30,5410.288621
10240,10240,Zd21,56392.86918
10241,10241,zHd21,1609.850384
10250,10250,Zd21g,5239.165356
10251,10251,zgY30,3011.609974
10260,10260,Zd30,7352.356246
10270,10270,Zb21,6996.693671
10280,90110280,Zb23,3999.3219
10280,90210280,Zb23,2772.217316
10281,10281,Zb23g,941.6271284
10290,10290,Zb30,4054.694984
11010,11010,pZg20A,1618.224526
11020,11020,Zn10A,3665.550586
11021,11021,Zn10Av,1593.21753
11030,11030,kZn40A,7510.573099
11031,11031,kZn10A,1963.254417
11032,11032,kZn50A,3846.905719
11040,90111040,Zn40A,4331.024052
11040,90211040,Zn40A,5419.364108
11050,90111050,Zn50A,10471.80349
11050,90211050,Zn50A,15859.19401
11051,11051,Zn50Ar,2722.909711
11060,11060,Zn30A,3764.63088
11061,11061,Zn30Ab,888.017165
11070,11070,Zd20A,16219.23481
11071,11071,Zd20Ab,1186.736999
12010,12010,Sn13A,3563.862909
12011,12011,Sn13Av,3042.701728
12020,12020,kSn13A,3717.701135
13010,13010,MOo02,4300.179845
13020,13020,MOo05,3952.87954
13030,13030,MOb72,2001.73817
13040,13040,MOb75,5429.681827
15010,15010,pMv51,1858.539217
15020,15020,pMv81,2357.246795
15030,15030,pMo50,560.1234249
15040,15040,pMo80,3416.754697
15041,15041,pMo80l,213.3363227
15050,90115050,pMn55A,3856.206822
15050,90215050,pMn55A,14312.66904
15051,15051,pMn52A,881.5135363
15060,90115060,pMn85A,5645.847224
15060,90215060,pMn85A,13719.90781
15070,15070,pMn86C,8432.716199
15071,15071,pMn86Cw,1490.847367
15080,15080,pMn55C,11552.42326
15090,15090,pMn85C,18839.12216
15100,15100,Mv51A,6354.261086
15101,15101,eMv61C,1062.879075
15110,15110,Mv81A,2814.550113
15111,15111,eMv41C,2557.43098
15120,15120,Mv61C,7088.889968
15130,15130,Mv41C,23238.35908
15131,15131,Mv41Cl,1694.075018
15132,15132,Mv41Cp,929.1137248
15140,15140,Mo20A,4274.606752
15160,15160,Mo80A,3542.452663
15170,15170,Mo80C,3465.066323
15171,15171,Mo80Cv,1481.568515
15180,15180,Mn12A,18070.5711
15190,15190,Mn12Ap,7386.692689
15200,15200,Mn22A,10434.3076
15210,15210,Mn22Ap,4213.339128
15220,15220,Mn82A,12045.04
15230,15230,Mn82Ap,3950.692264
15240,90115240,Mn15A,68707.96843
15240,90215240,Mn15A,18475.98346
15241,15241,Mn15Ap,1790.153245
15250,15250,Mn15Av,3788.60148
15251,15251,Mn15Aw,1998.59061
15260,15260,bMn15A,5358.091113
15270,90115270,Mn25A,70132.40255
15270,90215270,Mn25A,24980.46082
15280,15280,Mn25Ap,3107.11889
15290,15290,Mn25Av,11931.80606
15291,15291,Mn25Aw,1583.772689
15300,15300,bMn25A,2028.729442
15310,15310,eMn25A,4938.075856
15311,15311,eMn25Av,486.6399875
15320,90115320,Mn35A,52949.71903
15320,90215320,Mn35A,32000.55878
15330,15330,Mn35Ap,8048.770533
15340,15340,Mn35Av,24331.80727
15350,15350,eMn35A,6757.9082
15351,15351,eMn35Av,1066.914104
15360,90115360,Mn45A,18377.51569
15360,90215360,Mn45A,20704.75528
15361,15361,Mn45Ap,3692.332838
15370,15370,Mn52Cp,2462.090731
15380,15380,Mn82Cp,1490.758113
15381,15381,Mn82Cwp,756.8072224
15390,15390,Mn56C,3255.816198
15400,15400,Mn86C,5396.075742
15401,15401,Mn86Cl,1105.97474
15402,15402,Mn86Cv,10506.12909
15403,15403,Mn86Cwp,989.9608207
15410,90115410,Mn15C,9317.713769
15410,90215410,Mn15C,3790.339409
15411,15411,Mn15Cw,588.1407334
15420,15420,bMn15C,7234.467257
15430,90115430,Mn25C,2825.486299
15430,90215430,Mn25C,6251.52252
15431,15431,Mn25Cw,634.5037242
15440,15440,Mn85C,9876.068685
15441,15441,Mn85Cv,3451.917481
15442,15442,Mn85Cwp,1337.444775
15450,15450,gMn53C,4549.080866
15451,15451,gMn52C,716.2414407
15452,15452,gMn58Cv,711.3914293
15460,15460,gMn83C,19579.72066
15461,15461,gMn83Cp,860.809902
15462,15462,gMn83Cw,1346.643199
15470,15470,gMn88C,4036.893263
15480,15480,gMn88Cv,1889.15426
15481,15481,gMn88Clv,829.5763575
15490,90115490,gMn15C,3388.419092
15490,90215490,gMn15C,3709.52431
15500,90115500,gMn25C,2040.876721
15500,90215500,gMn25C,15271.20213
15510,15510,gMn85C,9979.353591
15520,15520,kMn63C,6312.726544
15521,15521,kMn63Cp,1175.856518
15530,15530,kMn68C,1904.341832
15540,15540,kMn43C,8957.419846
15541,15541,kMn43Cp,1277.958949
15550,15550,kMn48C,7549.608544
15560,15560,kMn48Cv,3119.743912
16010,16010,pRv81,3620.873321
16020,16020,pRn59,1272.831275
16021,16021,pRn59,1935.959503
16030,16030,pRn86,1923.264044
16040,16040,Rv01C,26173.70178
16050,90116050,Rn52A,1084.169651
16050,90216050,Rn52A,9619.213369
16060,90116060,Rn66A,285.0024818
16060,90216060,Rn66A,7341.48406
16061,16061,Rn66Av,884.7460875
16070,16070,Rn46A,2661.390434
16080,90116080,Rn15A,776.7035202
16080,90216080,Rn15A,5497.866575
16090,90116090,Rn95A,3190.776734
16090,90216090,Rn95A,23143.72279
16110,16110,Rn62C,2535.094232
16111,16111,Rn62Cg,552.7452668
16120,16120,fRn62C,2934.318767
16121,16121,fRn95C,1142.090524
16130,16130,Rn67C,20548.54544
16140,16140,Rn62Cp,5927.220775
16150,16150,Rn94C,5271.75585
16160,16160,Rn47C,24803.61541
16170,16170,Rn47Cp,4124.142199
16171,16171,Rn47Cwp,1486.546061
16180,16180,bRn46C,1363.777005
16190,16190,Rn44C,19464.83929
16200,16200,Rn44Cv,9647.906581
16201,16201,Rn44Cw,3085.941196
16210,90116210,Rn15C,357.1247819
16210,90216210,Rn15C,3687.336781
16220,90116220,Rn95C,1970.25134
16220,90216220,Rn95C,12030.69071
16230,90116230,Rd10A,1374.856032
16230,90216230,Rd10A,11661.38121
16240,90116240,Rd90A,2149.940306
16240,90216240,Rd90A,22447.02404
16250,90116250,Rd10C,959.7792803
16250,90216250,Rd10C,6364.373657
16260,90116260,Rd90C,2223.58199
16260,90216260,Rd90C,10224.05595
17010,17010,KRn1,6271.656486
17020,17020,KRn1g,4298.826407
17030,17030,KRn2,4153.147524
17040,17040,KRn2g,3491.275052
17050,17050,KRn8,2869.004487
17051,17051,KRn8g,833.1361378
17060,17060,KRd1,5741.144151
17061,17061,KRd1g,989.4829454
17070,17070,KRd7,2218.440421
17071,17071,KRd7g,672.7761765
18010,18010,pLn5,3349.171982
18020,18020,Ln5,3385.492973
18021,18021,Ln5g,561.1487041
18030,18030,Ld5g,1304.422439
18031,18031,Ld5,2172.315908
18040,18040,Ld6,2164.334673
18041,18041,Ld6g,782.0510562
18050,18050,Ldh6,13151.40069
22010,22010,KX,6199.980197
22011,22011,KT,881.3751246
22020,22020,KK,423.2157417
